"transactionid";"customerid";"age";"gender";"Marital Status";"income";"Product Name";"storename";"groupstore";"Type";"latitude";"longitude";"price";"qty";"totalamount";"DATE"
TR65426;124;28;0;Single;5.12;Crackers;Priangan;Priangan;Modern Trade;-5,45;"105,26667";7500;4;30000;2022-03-07
TR78728;258;51;0;Married;12.57;Crackers;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";7500;5;37500;2022-03-07
TR79324;42;60;0;Married;10.28;Cheese Stick;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";15000;2;30000;2022-03-07
TR80439;55;34;1;Married;8.44;Crackers;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";7500;5;37500;2022-03-07
TR81252;352;69;0;Single;6.15;Thai Tea;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";4200;5;21000;2022-03-07
TR85821;89;32;0;Married;9.68;Choco Bar;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";8800;10;88000;2022-03-07
TR86699;65;38;0;Married;4.36;Yoghurt;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";10000;1;10000;2022-03-07
TR94304;438;36;1;Single;5.43;Coffee Candy;Buana Indah;Buana;General Trade;"3,316694";"114,590111";9400;5;47000;2022-03-07
TR94525;191;35;1;Married;8.3;Oat;Priangan;Priangan;Modern Trade;-5,45;"105,26667";16000;2;32000;2022-03-07
TR96082;350;38;0;Single;7.95;Yoghurt;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";10000;5;50000;2022-03-07
TR99870;431;40;1;Married;9.51;Thai Tea;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";4200;4;16800;2022-03-07
TR13511;4;31;1;Married;4.87;Crackers;Buana Indah;Buana;General Trade;"3,316694";"114,590111";7500;5;37500;2022-03-08
TR49217;430;55;1;Single;18.37;Potato Chip;Buana;Buana;General Trade;-1,26916;"116,825264";12000;1;12000;2022-03-08
TR57833;355;19;1;Single;0;Cheese Stick;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";15000;2;30000;2022-03-08
TR74939;311;61;1;Married;7.64;Thai Tea;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";4200;4;16800;2022-03-08
TR84490;269;39;1;Married;6.3;Oat;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";16000;1;16000;2022-03-08
TR92165;365;28;0;Single;6.05;Cashew;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";18000;3;54000;2022-03-08
TR19367;298;38;1;Married;8.99;Coffee Candy;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";9400;6;56400;2022-03-09
TR23583;360;54;0;Married;35.78;Crackers;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";7500;2;15000;2022-03-09
TR26684;40;19;0;Single;3.48;Cheese Stick;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";15000;2;30000;2022-03-09
TR32237;198;45;0;Married;10.69;Ginger Candy ;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";3200;6;19200;2022-03-09
TR48377;294;54;1;Married;19.07;Yoghurt;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";10000;1;10000;2022-03-09
TR48509;430;55;1;Single;18.37;Cheese Stick;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";15000;2;30000;2022-03-09
TR48538;277;60;1;Married;9.38;Potato Chip;Buana Indah;Buana;General Trade;"3,316694";"114,590111";12000;3;36000;2022-03-09
TR52759;140;54;0;Married;9.57;Oat;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";16000;3;48000;2022-03-09
TR55578;58;27;1;Married;4.43;Cheese Stick;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";15000;5;75000;2022-03-09
TR55776;338;46;1;Married;5.12;Thai Tea;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";4200;4;16800;2022-03-09
TR56320;199;41;0;Married;7.9;Potato Chip;Buana;Buana;General Trade;-1,26916;"116,825264";12000;3;36000;2022-03-09
TR77452;19;24;1;Single;4.14;Choco Bar;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";8800;8;70400;2022-03-09
TR83825;21;52;0;Married;12.72;Thai Tea;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";4200;2;8400;2022-03-09
TR90458;37;51;0;Married;17.11;Thai Tea;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";4200;3;12600;2022-03-09
TR99010;263;40;1;Married;10.21;Cashew;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";18000;3;54000;2022-03-09
TR99670;309;23;0;Single;3.03;Choco Bar;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";8800;2;17600;2022-03-09
TR13542;173;59;0;Married;4.59;Cashew;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";18000;3;54000;2022-03-10
TR17932;388;44;1;Married;16.12;Thai Tea;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";4200;2;8400;2022-03-10
TR22169;24;37;0;Married;9.53;Oat;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";16000;1;16000;2022-03-10
TR46187;394;50;0;Married;7.19;Coffee Candy;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";9400;6;56400;2022-03-10
TR48294;57;33;1;Married;6.5;Thai Tea;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";4200;2;8400;2022-03-10
TR5151;7;31;0;Married;4.57;Oat;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";16000;2;32000;2022-03-10
TR51711;278;31;1;Married;9.76;Coffee Candy;Bonafid;Gita;General Trade;-7,250445;"112,768845";9400;4;37600;2022-03-10
TR53069;64;48;1;Married;7.92;Ginger Candy ;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";3200;6;19200;2022-03-10
TR59752;174;45;1;Married;17.34;Yoghurt;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";10000;2;20000;2022-03-10
TR65791;355;19;1;Single;0;Thai Tea;Buana Indah;Buana;General Trade;"3,316694";"114,590111";4200;3;12600;2022-03-10
TR70168;118;20;1;Single;3.28;Thai Tea;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";4200;5;21000;2022-03-10
TR70776;136;28;1;Married;2.96;Cheese Stick;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";15000;4;60000;2022-03-10
TR71483;68;48;1;Married;17.42;Thai Tea;Buana Indah;Buana;General Trade;"3,316694";"114,590111";4200;2;8400;2022-03-10
TR77331;73;53;0;Married;13.71;Choco Bar;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";8800;10;88000;2022-03-10
TR79227;291;49;0;Married;19.98;Crackers;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";7500;6;45000;2022-03-10
TR86016;293;54;0;Married;10.4;Thai Tea;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";4200;4;16800;2022-03-10
TR86550;293;54;0;Married;10.4;Ginger Candy ;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";3200;6;19200;2022-03-10
TR8808;329;19;1;Single;0;Choco Bar;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";8800;2;17600;2022-03-10
TR1544;11;42;0;Married;12.25;Crackers;Bonafid;Gita;General Trade;-7,250445;"112,768845";7500;1;7500;2022-03-11
TR1575;50;31;1;Married;6.01;Crackers;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";7500;2;15000;2022-03-11
TR19455;65;38;0;Married;4.36;Cheese Stick;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";15000;1;15000;2022-03-11
TR2304;14;58;1;Married;10.18;Yoghurt;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";10000;3;30000;2022-03-11
TR27858;36;32;1;Married;10.4;Cashew;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";18000;2;36000;2022-03-11
TR32836;272;60;0;Married;4.05;Cheese Stick;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";15000;1;15000;2022-03-11
TR42175;12;2;1;Married;4.94;Cheese Stick;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";15000;2;30000;2022-03-11
TR46347;267;22;0;Single;0;Coffee Candy;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";9400;5;47000;2022-03-11
TR46513;65;38;0;Married;4.36;Coffee Candy;Bonafid;Gita;General Trade;-7,250445;"112,768845";9400;5;47000;2022-03-11
TR5344;186;34;1;Married;4.02;Ginger Candy ;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";3200;4;12800;2022-03-11
TR60024;342;48;1;Married;13.55;Thai Tea;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";4200;4;16800;2022-03-11
TR6189;157;44;0;Single;2.52;Cheese Stick;Buana;Buana;General Trade;-1,26916;"116,825264";15000;4;60000;2022-03-11
TR62871;129;35;1;Single;10.46;Yoghurt;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";10000;1;10000;2022-03-11
TR66795;142;23;1;Single;1.58;Potato Chip;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";12000;4;48000;2022-03-11
TR71512;265;62;1;Married;9.07;Cheese Stick;Bonafid;Gita;General Trade;-7,250445;"112,768845";15000;1;15000;2022-03-11
TR81037;118;20;1;Single;3.28;Oat;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";16000;3;48000;2022-03-11
TR82337;295;34;0;Married;4.78;Coffee Candy;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";9400;4;37600;2022-03-11
TR83227;155;40;0;Married;7.17;Thai Tea;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";4200;3;12600;2022-03-11
TR83234;111;59;1;Married;4.59;Cheese Stick;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";15000;5;75000;2022-03-11
TR88521;300;25;1;Single;4.22;Crackers;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";7500;2;15000;2022-03-11
TR89747;189;59;1;Single;5.15;Coffee Candy;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";9400;5;47000;2022-03-11
TR93791;418;45;0;Single;23.84;Thai Tea;Buana Indah;Buana;General Trade;"3,316694";"114,590111";4200;3;12600;2022-03-11
TR95504;90;21;1;Single;0;Thai Tea;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";4200;3;12600;2022-03-11
TR95530;85;59;1;Married;7.89;Yoghurt;Priangan;Priangan;Modern Trade;-5,45;"105,26667";10000;4;40000;2022-03-11
TR15016;418;45;0;Single;23.84;Yoghurt;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";10000;2;20000;2022-03-12
TR27961;126;56;0;Married;15.75;Cheese Stick;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";15000;4;60000;2022-03-12
TR35363;161;41;0;Married;20.02;Potato Chip;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";12000;3;36000;2022-03-12
TR43634;303;45;0;Married;10.34;Ginger Candy ;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";3200;4;12800;2022-03-12
TR59043;130;40;0;Married;9.73;Cheese Stick;Priangan;Priangan;Modern Trade;-5,45;"105,26667";15000;3;45000;2022-03-12
TR63387;350;38;0;Single;7.95;Yoghurt;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";10000;4;40000;2022-03-12
TR6643;229;32;0;Married;10.17;Thai Tea;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";4200;3;12600;2022-03-12
TR68592;430;55;1;Single;18.37;Ginger Candy ;Buana Indah;Buana;General Trade;"3,316694";"114,590111";3200;3;9600;2022-03-12
TR72611;232;62;0;Married;7.32;Ginger Candy ;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";3200;3;9600;2022-03-12
TR75048;374;32;0;Single;5.4;Thai Tea;Buana;Buana;General Trade;-1,26916;"116,825264";4200;2;8400;2022-03-12
TR84181;307;31;0;Married;5.22;Crackers;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";7500;3;22500;2022-03-12
TR95202;283;19;1;Single;0;Yoghurt;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";10000;3;30000;2022-03-12
TR96941;119;26;1;Single;5.54;Ginger Candy ;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";3200;4;12800;2022-03-12
TR11097;43;53;0;Married;16.64;Cheese Stick;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";15000;3;45000;2022-03-13
TR11813;76;38;1;Married;7.88;Cheese Stick;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";15000;2;30000;2022-03-13
TR19441;403;30;0;Married;4.06;Cheese Stick;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";15000;1;15000;2022-03-13
TR41376;151;42;0;Married;10.38;Coffee Candy;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";9400;4;37600;2022-03-13
TR47559;307;31;0;Married;5.22;Crackers;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";7500;2;15000;2022-03-13
TR48515;236;28;0;Married;3.13;Cheese Stick;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";15000;5;75000;2022-03-13
TR52504;174;45;1;Married;17.34;Coffee Candy;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";9400;6;56400;2022-03-13
TR7454;334;70;0;Married;5.99;Crackers;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";7500;4;30000;2022-03-13
TR74611;430;55;1;Single;18.37;Cheese Stick;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";15000;5;75000;2022-03-13
TR80826;240;22;1;Single;3.33;Ginger Candy ;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";3200;6;19200;2022-03-13
TR83149;226;18;0;Single;0;Thai Tea;Buana;Buana;General Trade;-1,26916;"116,825264";4200;2;8400;2022-03-13
TR89580;172;57;1;Married;8.96;Choco Bar;Bonafid;Gita;General Trade;-7,250445;"112,768845";8800;2;17600;2022-03-13
TR94801;331;54;0;Married;16.19;Crackers;Bonafid;Gita;General Trade;-7,250445;"112,768845";7500;2;15000;2022-03-13
TR94992;265;62;1;Married;9.07;Yoghurt;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";10000;1;10000;2022-03-13
TR17735;72;26;0;Single;1.81;Oat;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";16000;2;32000;2022-03-14
TR19487;236;28;0;Married;3.13;Crackers;Bonafid;Gita;General Trade;-7,250445;"112,768845";7500;1;7500;2022-03-14
TR19797;283;19;1;Single;0;Coffee Candy;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";9400;2;18800;2022-03-14
TR44520;341;43;1;Married;3.24;Potato Chip;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";12000;3;36000;2022-03-14
TR47026;337;43;1;Married;5.12;Ginger Candy ;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";3200;6;19200;2022-03-14
TR49797;27;43;0;Married;17.42;Oat;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";16000;1;16000;2022-03-14
TR53829;60;56;0;Married;10.61;Oat;Buana;Buana;General Trade;-1,26916;"116,825264";16000;2;32000;2022-03-14
TR56328;46;36;1;Married;8.31;Thai Tea;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";4200;2;8400;2022-03-14
TR62877;54;42;0;Single;9.68;Crackers;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";7500;4;30000;2022-03-14
TR73703;145;37;0;Single;14.59;Coffee Candy;Buana Indah;Buana;General Trade;"3,316694";"114,590111";9400;3;28200;2022-03-14
TR74210;133;47;1;Married;20.81;Coffee Candy;Buana;Buana;General Trade;-1,26916;"116,825264";9400;2;18800;2022-03-14
TR77842;409;47;0;Married;28.23;Ginger Candy ;Bonafid;Gita;General Trade;-7,250445;"112,768845";3200;7;22400;2022-03-14
TR90661;431;40;1;Married;9.51;Oat;Buana Indah;Buana;General Trade;"3,316694";"114,590111";16000;2;32000;2022-03-14
TR92340;416;27;1;Married;3.43;Coffee Candy;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";9400;6;56400;2022-03-14
TR14328;365;28;0;Single;6.05;Choco Bar;Priangan;Priangan;Modern Trade;-5,45;"105,26667";8800;9;79200;2022-03-15
TR22986;443;33;1;Married;9.28;Oat;Bonafid;Gita;General Trade;-7,250445;"112,768845";16000;1;16000;2022-03-15
TR2436;403;30;0;Married;4.06;Yoghurt;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";10000;2;20000;2022-03-15
TR25908;423;22;0;Married;3.55;Coffee Candy;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";9400;5;47000;2022-03-15
TR26921;381;39;0;Married;6.92;Cheese Stick;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";15000;4;60000;2022-03-15
TR27050;333;47;0;Married;17.99;Coffee Candy;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";9400;2;18800;2022-03-15
TR29671;201;57;0;Married;6.87;Coffee Candy;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";9400;6;56400;2022-03-15
TR37760;382;54;0;Married;15.55;Yoghurt;Buana Indah;Buana;General Trade;"3,316694";"114,590111";10000;5;50000;2022-03-15
TR49013;329;19;1;Single;0;Cheese Stick;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";15000;5;75000;2022-03-15
TR67084;213;24;1;Single;5.72;Oat;Priangan;Priangan;Modern Trade;-5,45;"105,26667";16000;2;32000;2022-03-15
TR72391;409;47;0;Married;28.23;Ginger Candy ;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";3200;4;12800;2022-03-15
TR76889;35;48;1;Married;10.58;Potato Chip;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";12000;3;36000;2022-03-15
TR9937;95;52;0;Married;17.42;Yoghurt;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";10000;2;20000;2022-03-15
TR41225;336;51;0;Single;10.84;Crackers;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";7500;1;7500;2022-03-16
TR42741;352;69;0;Single;6.15;Thai Tea;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";4200;2;8400;2022-03-16
TR53349;302;51;0;Married;15.43;Crackers;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";7500;3;22500;2022-03-16
TR69907;51;36;0;Married;7.95;Choco Bar;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";8800;10;88000;2022-03-16
TR71572;100;45;1;Married;6.71;Crackers;Buana Indah;Buana;General Trade;"3,316694";"114,590111";7500;2;15000;2022-03-16
TR71782;163;47;1;Married;6.3;Potato Chip;Bonafid;Gita;General Trade;-7,250445;"112,768845";12000;3;36000;2022-03-16
TR75989;266;72;1;Married;4.72;Ginger Candy ;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";3200;4;12800;2022-03-16
TR80782;62;51;1;Married;13.62;Oat;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";16000;3;48000;2022-03-16
TR81204;299;37;1;Married;4.54;Choco Bar;Priangan;Priangan;Modern Trade;-5,45;"105,26667";8800;9;79200;2022-03-16
TR84691;404;22;0;Single;2.69;Thai Tea;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";4200;2;8400;2022-03-16
TR86064;321;45;0;Married;8.03;Thai Tea;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";4200;2;8400;2022-03-16
TR17751;39;66;1;Married;6.19;Coffee Candy;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";9400;5;47000;2022-03-17
TR30399;376;44;0;Married;14.65;Yoghurt;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";10000;5;50000;2022-03-17
TR36780;169;34;0;Married;3.97;Coffee Candy;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";9400;5;47000;2022-03-17
TR37733;163;47;1;Married;6.3;Potato Chip;Buana;Buana;General Trade;-1,26916;"116,825264";12000;1;12000;2022-03-17
TR38159;18;47;0;Married;13.6;Cashew;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";18000;3;54000;2022-03-17
TR3858;413;31;0;Married;8.8;Coffee Candy;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";9400;5;47000;2022-03-17
TR41507;331;54;0;Married;16.19;Cashew;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";18000;3;54000;2022-03-17
TR49377;243;38;0;Married;3.34;Ginger Candy ;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";3200;6;19200;2022-03-17
TR53260;214;52;0;Married;13.14;Crackers;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";7500;1;7500;2022-03-17
TR56955;407;53;1;Married;9.27;Thai Tea;Priangan;Priangan;Modern Trade;-5,45;"105,26667";4200;4;16800;2022-03-17
TR58793;345;31;0;Married;5.06;Crackers;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";7500;4;30000;2022-03-17
TR59848;340;41;0;Single;10.9;Thai Tea;Buana Indah;Buana;General Trade;"3,316694";"114,590111";4200;3;12600;2022-03-17
TR62311;219;39;0;Single;9.73;Crackers;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";7500;2;15000;2022-03-17
TR68548;203;53;0;Married;17.2;Crackers;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";7500;5;37500;2022-03-17
TR72611;257;60;0;Married;4.25;Yoghurt;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";10000;2;20000;2022-03-17
TR74280;168;27;0;Married;4.88;Ginger Candy ;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";3200;6;19200;2022-03-17
TR79500;347;26;1;Single;3.69;Thai Tea;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";4200;4;16800;2022-03-17
TR79584;42;60;0;Married;10.28;Thai Tea;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";4200;4;16800;2022-03-17
TR90445;140;54;0;Married;9.57;Crackers;Buana;Buana;General Trade;-1,26916;"116,825264";7500;5;37500;2022-03-17
TR98048;430;55;1;Single;18.37;Cashew;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";18000;3;54000;2022-03-17
TR98668;170;36;0;Married;7.55;Cashew;Priangan;Priangan;Modern Trade;-5,45;"105,26667";18000;4;72000;2022-03-17
TR99654;61;40;0;Married;7;Oat;Priangan;Priangan;Modern Trade;-5,45;"105,26667";16000;1;16000;2022-03-17
TR11243;271;29;0;Married;4.74;Cheese Stick;Priangan;Priangan;Modern Trade;-5,45;"105,26667";15000;3;45000;2022-03-18
TR14920;379;48;1;Married;17.74;Yoghurt;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";10000;4;40000;2022-03-18
TR21639;235;37;0;Married;5.35;Ginger Candy ;Buana;Buana;General Trade;-1,26916;"116,825264";3200;7;22400;2022-03-18
TR22673;315;29;1;Married;4.18;Coffee Candy;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";9400;5;47000;2022-03-18
TR27519;392;45;0;Married;19.68;Coffee Candy;Buana Indah;Buana;General Trade;"3,316694";"114,590111";9400;6;56400;2022-03-18
TR47;260;33;0;Single;6.65;Ginger Candy ;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";3200;4;12800;2022-03-18
TR50795;98;56;0;Married;14.54;Potato Chip;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";12000;5;60000;2022-03-18
TR56178;82;60;1;Married;6.24;Oat;Priangan;Priangan;Modern Trade;-5,45;"105,26667";16000;3;48000;2022-03-18
TR73398;123;34;0;Married;4.36;Crackers;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";7500;2;15000;2022-03-18
TR96311;240;22;1;Single;3.33;Cashew;Buana Indah;Buana;General Trade;"3,316694";"114,590111";18000;2;36000;2022-03-18
TR97527;2;60;1;Married;6.23;Choco Bar;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";8800;9;79200;2022-03-18
TR98384;446;57;0;Married;7.81;Yoghurt;Priangan;Priangan;Modern Trade;-5,45;"105,26667";10000;4;40000;2022-03-18
TR13801;384;59;1;Married;4.42;Thai Tea;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";4200;4;16800;2022-03-19
TR14457;271;29;0;Married;4.74;Crackers;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";7500;6;45000;2022-03-19
TR16036;246;40;1;Single;21.81;Crackers;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";7500;3;22500;2022-03-19
TR19005;107;38;1;Married;9.85;Potato Chip;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";12000;5;60000;2022-03-19
TR22148;377;53;0;Single;10.39;Oat;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";16000;3;48000;2022-03-19
TR24067;353;25;0;Single;1.32;Choco Bar;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";8800;2;17600;2022-03-19
TR33231;69;26;0;Single;2.84;Oat;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";16000;1;16000;2022-03-19
TR41406;443;33;1;Married;9.28;Ginger Candy ;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";3200;3;9600;2022-03-19
TR4998;188;46;1;Married;25.22;Thai Tea;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";4200;4;16800;2022-03-19
TR58165;395;28;0;Married;3.39;Ginger Candy ;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";3200;4;12800;2022-03-19
TR65361;153;36;1;Married;9.54;Thai Tea;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";4200;2;8400;2022-03-19
TR67254;356;56;0;Married;13.25;Choco Bar;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";8800;2;17600;2022-03-19
TR71851;84;54;0;Married;18.12;Thai Tea;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";4200;2;8400;2022-03-19
TR82285;281;35;0;Married;3.03;Yoghurt;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";10000;1;10000;2022-03-19
TR14184;8;37;1;Married;5.49;Potato Chip;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";12000;3;36000;2022-03-20
TR507;263;40;1;Married;10.21;Cheese Stick;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";15000;4;60000;2022-03-20
TR57321;200;25;0;Married;2.39;Ginger Candy ;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";3200;4;12800;2022-03-20
TR58795;313;46;0;Married;15.39;Cheese Stick;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";15000;2;30000;2022-03-20
TR61283;325;37;0;Single;3.25;Potato Chip;Bonafid;Gita;General Trade;-7,250445;"112,768845";12000;4;48000;2022-03-20
TR82034;372;31;1;Married;6.19;Oat;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";16000;2;32000;2022-03-20
TR87018;289;29;0;Married;2.37;Cheese Stick;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";15000;5;75000;2022-03-20
TR95055;420;48;1;Single;6.01;Cheese Stick;Buana;Buana;General Trade;-1,26916;"116,825264";15000;5;75000;2022-03-20
TR9604;272;60;0;Married;4.05;Crackers;Priangan;Priangan;Modern Trade;-5,45;"105,26667";7500;1;7500;2022-03-20
TR97309;127;27;0;Married;2.07;Coffee Candy;Priangan;Priangan;Modern Trade;-5,45;"105,26667";9400;3;28200;2022-03-20
