"transactionid";"customerid";"productid";"price";"qty";"totalamount";"storeid";"DATE"
TR84991;417;2;3200;5;16000;8;2022-03-21
TR85448;48;5;4200;5;21000;13;2022-03-21
TR13613;230;9;10000;1;10000;14;2022-03-22
TR20700;262;4;12000;1;12000;6;2022-03-22
TR44081;398;5;4200;4;16800;14;2022-03-22
TR52160;389;9;10000;4;40000;2;2022-03-22
TR58135;143;5;4200;4;16800;14;2022-03-22
TR68146;272;7;9400;4;37600;9;2022-03-22
TR81892;119;9;10000;5;50000;10;2022-03-22
TR82531;165;2;3200;5;16000;8;2022-03-22
TR83466;7;9;10000;2;20000;7;2022-03-22
TR95317;343;6;18000;2;36000;14;2022-03-22
TR11114;392;8;16000;1;16000;14;2022-03-23
TR13113;243;10;15000;4;60000;3;2022-03-23
TR18091;132;5;4200;2;8400;5;2022-03-23
TR1857;246;5;4200;5;21000;7;2022-03-23
TR46760;171;2;3200;3;9600;10;2022-03-23
TR47934;168;8;16000;1;16000;2;2022-03-23
TR50810;126;2;3200;7;22400;3;2022-03-23
TR53834;58;7;9400;2;18800;13;2022-03-23
TR55550;412;2;3200;3;9600;9;2022-03-23
TR59783;178;2;3200;4;12800;8;2022-03-23
TR65838;227;8;16000;1;16000;2;2022-03-23
TR67402;230;7;9400;6;56400;10;2022-03-23
TR68603;166;1;8800;9;79200;1;2022-03-23
TR81324;352;1;8800;7;61600;1;2022-03-23
TR98880;304;6;18000;4;72000;7;2022-03-23
TR17459;442;7;9400;2;18800;13;2022-03-24
TR20920;147;7;9400;3;28200;7;2022-03-24
TR26760;163;8;16000;3;48000;6;2022-03-24
TR28862;378;3;7500;3;22500;1;2022-03-24
TR34593;252;1;8800;7;61600;2;2022-03-24
TR4617;422;1;8800;10;88000;3;2022-03-24
TR49836;231;4;12000;5;60000;5;2022-03-24
TR52794;437;10;15000;5;75000;3;2022-03-24
TR59219;392;7;9400;4;37600;12;2022-03-24
TR60775;212;7;9400;5;47000;5;2022-03-24
TR68721;73;8;16000;2;32000;10;2022-03-24
TR72192;255;8;16000;1;16000;14;2022-03-24
TR85967;303;5;4200;2;8400;4;2022-03-24
TR86490;39;10;15000;2;30000;13;2022-03-24
TR90663;285;7;9400;4;37600;13;2022-03-24
TR97036;130;5;4200;5;21000;1;2022-03-24
TR15664;77;9;10000;1;10000;7;2022-03-25
TR16537;219;1;8800;6;52800;4;2022-03-25
TR23529;45;4;12000;2;24000;14;2022-03-25
TR28229;284;4;12000;4;48000;2;2022-03-25
TR45000;10;2;3200;5;16000;10;2022-03-25
TR60204;161;9;10000;3;30000;9;2022-03-25
TR61518;446;8;16000;2;32000;10;2022-03-25
TR74197;373;9;10000;4;40000;6;2022-03-25
TR76150;260;10;15000;5;75000;1;2022-03-25
TR76447;4;2;3200;4;12800;13;2022-03-25
TR78501;122;8;16000;2;32000;11;2022-03-25
TR78592;276;3;7500;3;22500;10;2022-03-25
TR89012;328;5;4200;5;21000;6;2022-03-25
TR92743;90;9;10000;6;60000;14;2022-03-25
TR97132;321;6;18000;2;36000;14;2022-03-25
TR12762;303;2;3200;7;22400;8;2022-03-26
TR32490;183;10;15000;4;60000;12;2022-03-26
TR33084;241;5;4200;4;16800;5;2022-03-26
TR42508;46;4;12000;2;24000;1;2022-03-26
TR44584;238;8;16000;3;48000;4;2022-03-26
TR49872;339;10;15000;2;30000;6;2022-03-26
TR5340;245;1;8800;6;52800;9;2022-03-26
TR58858;327;5;4200;2;8400;6;2022-03-26
TR60337;375;4;12000;4;48000;14;2022-03-26
TR71073;142;5;4200;3;12600;13;2022-03-26
TR79255;284;9;10000;7;70000;10;2022-03-26
TR89362;298;8;16000;3;48000;7;2022-03-26
TR90008;114;5;4200;2;8400;14;2022-03-26
TR95793;416;5;4200;4;16800;8;2022-03-26
TR96401;198;1;8800;6;52800;10;2022-03-26
TR96784;205;2;3200;3;9600;7;2022-03-26
TR99840;40;6;18000;2;36000;9;2022-03-26
TR1141;249;5;4200;2;8400;3;2022-03-27
TR26815;158;5;4200;3;12600;12;2022-03-27
TR3480;75;10;15000;4;60000;1;2022-03-27
TR40982;423;5;4200;3;12600;9;2022-03-27
TR49381;58;8;16000;1;16000;14;2022-03-27
TR54641;67;1;8800;7;61600;2;2022-03-27
TR75463;392;4;12000;2;24000;12;2022-03-27
TR79918;115;9;10000;6;60000;10;2022-03-27
TR87616;358;5;4200;3;12600;5;2022-03-27
TR90228;8;10;15000;3;45000;7;2022-03-27
TR93489;247;10;15000;4;60000;9;2022-03-27
TR99604;416;10;15000;5;75000;3;2022-03-27
TR12061;189;3;7500;5;37500;12;2022-03-28
TR17404;372;3;7500;6;45000;8;2022-03-28
TR32857;138;9;10000;1;10000;11;2022-03-28
TR32972;12;5;4200;2;8400;7;2022-03-28
TR40660;87;10;15000;1;15000;8;2022-03-28
TR45827;132;7;9400;4;37600;12;2022-03-28
TR61044;339;5;4200;5;21000;11;2022-03-28
TR68685;375;5;4200;3;12600;13;2022-03-28
TR70497;15;9;10000;2;20000;3;2022-03-28
TR72832;280;7;9400;3;28200;10;2022-03-28
TR83095;211;5;4200;4;16800;13;2022-03-28
TR84109;319;10;15000;5;75000;9;2022-03-28
TR95228;68;9;10000;4;40000;2;2022-03-28
TR15499;134;9;10000;7;70000;10;2022-03-29
TR16539;404;10;15000;5;75000;14;2022-03-29
TR24498;336;3;7500;5;37500;5;2022-03-29
TR2880;76;10;15000;2;30000;11;2022-03-29
TR39127;2;2;3200;6;19200;6;2022-03-29
TR59179;301;7;9400;3;28200;13;2022-03-29
TR63244;124;1;8800;8;70400;6;2022-03-29
TR65982;4;5;4200;4;16800;9;2022-03-29
TR69829;301;10;15000;3;45000;5;2022-03-29
TR89056;239;1;8800;8;70400;9;2022-03-29
TR91643;414;1;8800;9;79200;9;2022-03-29
TR92013;195;3;7500;3;22500;3;2022-03-29
TR99856;114;5;4200;5;21000;12;2022-03-29
TR14935;101;8;16000;1;16000;9;2022-03-30
TR1642;46;8;16000;1;16000;3;2022-03-30
TR19951;415;10;15000;1;15000;14;2022-03-30
TR26863;8;10;15000;5;75000;9;2022-03-30
TR31273;379;5;4200;3;12600;1;2022-03-30
TR374;57;9;10000;7;70000;12;2022-03-30
TR38427;250;9;10000;6;60000;2;2022-03-30
TR57920;72;7;9400;4;37600;13;2022-03-30
TR61854;444;1;8800;4;35200;13;2022-03-30
TR61973;118;10;15000;2;30000;5;2022-03-30
TR63415;57;5;4200;3;12600;7;2022-03-30
TR75249;89;1;8800;7;61600;12;2022-03-30
TR75984;201;2;3200;3;9600;14;2022-03-30
TR77629;330;2;3200;4;12800;12;2022-03-30
TR78109;410;9;10000;3;30000;13;2022-03-30
TR83522;154;8;16000;1;16000;8;2022-03-30
TR90952;37;1;8800;10;88000;3;2022-03-30
TR91130;290;8;16000;2;32000;6;2022-03-30
TR92504;146;10;15000;2;30000;3;2022-03-30
TR93420;413;1;8800;5;44000;5;2022-03-30
TR98789;172;7;9400;2;18800;11;2022-03-30
TR10287;115;7;9400;5;47000;11;2022-03-31
TR11827;210;9;10000;6;60000;6;2022-03-31
TR1280;337;10;15000;4;60000;10;2022-03-31
TR17305;372;10;15000;1;15000;3;2022-03-31
TR21623;371;8;16000;3;48000;6;2022-03-31
TR33436;346;2;3200;3;9600;14;2022-03-31
TR33953;122;3;7500;3;22500;7;2022-03-31
TR41645;114;6;18000;4;72000;9;2022-03-31
TR47547;352;4;12000;5;60000;11;2022-03-31
TR57869;274;10;15000;1;15000;11;2022-03-31
TR62348;62;2;3200;5;16000;6;2022-03-31
TR80719;243;7;9400;3;28200;13;2022-03-31
TR8302;115;10;15000;4;60000;13;2022-03-31
TR86527;311;5;4200;5;21000;13;2022-03-31
TR95369;326;7;9400;4;37600;3;2022-03-31
TR12024;141;5;4200;3;12600;7;2022-04-01
TR14822;18;6;18000;1;18000;3;2022-04-01
TR21840;374;9;10000;6;60000;7;2022-04-01
TR22437;58;3;7500;6;45000;5;2022-04-01
TR25887;341;10;15000;4;60000;7;2022-04-01
TR27834;33;5;4200;3;12600;7;2022-04-01
TR36163;90;9;10000;1;10000;7;2022-04-01
TR4534;207;9;10000;7;70000;1;2022-04-01
TR48845;305;8;16000;3;48000;12;2022-04-01
TR49237;447;9;10000;5;50000;14;2022-04-01
TR52485;17;3;7500;6;45000;10;2022-04-01
TR55166;57;8;16000;2;32000;10;2022-04-01
TR56815;112;3;7500;6;45000;5;2022-04-01
TR59552;428;4;12000;3;36000;13;2022-04-01
TR61040;360;8;16000;2;32000;14;2022-04-01
TR75263;150;2;3200;5;16000;12;2022-04-01
TR76612;327;2;3200;3;9600;13;2022-04-01
TR95087;135;10;15000;2;30000;5;2022-04-01
TR20662;131;1;8800;9;79200;6;2022-04-02
TR29006;321;10;15000;5;75000;1;2022-04-02
TR33014;234;8;16000;2;32000;6;2022-04-02
TR34147;27;6;18000;4;72000;9;2022-04-02
TR37469;47;3;7500;5;37500;3;2022-04-02
TR4408;340;7;9400;4;37600;14;2022-04-02
TR55207;319;9;10000;3;30000;10;2022-04-02
TR66707;167;10;15000;1;15000;11;2022-04-02
TR67928;303;5;4200;3;12600;6;2022-04-02
TR69903;289;1;8800;8;70400;6;2022-04-02
TR7808;132;7;9400;2;18800;1;2022-04-02
TR87593;111;8;16000;1;16000;1;2022-04-02
TR87883;84;9;10000;2;20000;1;2022-04-02
TR97129;246;1;8800;4;35200;14;2022-04-02
TR10979;381;4;12000;3;36000;10;2022-04-03
TR23231;333;5;4200;3;12600;7;2022-04-03
TR39268;438;10;15000;5;75000;13;2022-04-03
TR56079;155;8;16000;1;16000;14;2022-04-03
TR57024;253;1;8800;6;52800;3;2022-04-03
TR9597;143;5;4200;5;21000;14;2022-04-03
TR12468;350;7;9400;3;28200;6;2022-04-04
TR2135;384;10;15000;5;75000;14;2022-04-04
TR26095;11;1;8800;3;26400;3;2022-04-04
TR27245;339;5;4200;2;8400;13;2022-04-04
TR28907;164;1;8800;7;61600;9;2022-04-04
TR4104;37;3;7500;4;30000;2;2022-04-04
TR54270;392;10;15000;5;75000;4;2022-04-04
TR56681;96;1;8800;9;79200;2;2022-04-04
TR60285;223;5;4200;5;21000;2;2022-04-04
TR67393;90;7;9400;6;56400;11;2022-04-04
TR70022;78;10;15000;1;15000;8;2022-04-04
TR71964;245;1;8800;7;61600;9;2022-04-04
TR72590;277;8;16000;1;16000;11;2022-04-04
TR8418;332;2;3200;4;12800;7;2022-04-04
TR94559;369;3;7500;5;37500;4;2022-04-04
TR98000;258;1;8800;9;79200;6;2022-04-04
TR11680;388;7;9400;4;37600;14;2022-04-05
TR13038;346;1;8800;9;79200;2;2022-04-05
TR21280;204;5;4200;4;16800;2;2022-04-05
TR22346;236;7;9400;6;56400;13;2022-04-05
TR33357;377;7;9400;5;47000;5;2022-04-05
TR33826;46;6;18000;4;72000;12;2022-04-05
TR34567;184;6;18000;4;72000;4;2022-04-05
TR36964;267;2;3200;3;9600;14;2022-04-05
TR45309;14;1;8800;6;52800;2;2022-04-05
TR75562;120;4;12000;4;48000;9;2022-04-05
TR78827;442;8;16000;1;16000;10;2022-04-05
TR84736;47;3;7500;3;22500;13;2022-04-05
TR86692;410;9;10000;2;20000;7;2022-04-05
TR86693;342;3;7500;6;45000;2;2022-04-05
TR94912;24;7;9400;2;18800;6;2022-04-05
TR11801;186;1;8800;2;17600;4;2022-04-06
TR17109;182;6;18000;3;54000;8;2022-04-06
TR22204;250;5;4200;5;21000;10;2022-04-06
TR24638;311;4;12000;3;36000;5;2022-04-06
TR2914;199;3;7500;6;45000;2;2022-04-06
TR29149;118;6;18000;1;18000;5;2022-04-06
TR34347;189;6;18000;4;72000;6;2022-04-06
TR4131;432;5;4200;2;8400;13;2022-04-06
TR41318;204;9;10000;6;60000;5;2022-04-06
TR41889;189;2;3200;6;19200;6;2022-04-06
TR54156;226;9;10000;3;30000;11;2022-04-06
TR89889;397;3;7500;4;30000;12;2022-04-06
TR13466;10;10;15000;5;75000;2;2022-04-07
TR13708;39;10;15000;2;30000;12;2022-04-07
TR16030;138;3;7500;3;22500;7;2022-04-07
TR32530;304;6;18000;1;18000;4;2022-04-07
TR38619;336;10;15000;2;30000;9;2022-04-07
TR55364;319;9;10000;4;40000;4;2022-04-07
TR5922;241;2;3200;6;19200;11;2022-04-07
TR7344;79;9;10000;3;30000;8;2022-04-07
TR88564;326;10;15000;5;75000;2;2022-04-07
TR88894;424;2;3200;7;22400;8;2022-04-07
TR89192;359;5;4200;3;12600;13;2022-04-07
TR8933;316;5;4200;3;12600;5;2022-04-07
TR91011;350;9;10000;2;20000;5;2022-04-07
TR97409;241;1;8800;2;17600;4;2022-04-07
TR23189;16;7;9400;5;47000;5;2022-04-08
TR25238;276;3;7500;2;15000;1;2022-04-08
TR65271;390;4;12000;1;12000;6;2022-04-08
TR67850;81;3;7500;1;7500;9;2022-04-08
TR68293;363;5;4200;3;12600;7;2022-04-08
TR7042;43;7;9400;5;47000;5;2022-04-08
TR72447;182;5;4200;3;12600;10;2022-04-08
TR78157;81;1;8800;8;70400;1;2022-04-08
TR81248;305;10;15000;4;60000;9;2022-04-08
TR85871;144;7;9400;6;56400;1;2022-04-08
TR99305;28;6;18000;2;36000;5;2022-04-08
TR27424;390;7;9400;2;18800;12;2022-04-09
TR36462;358;4;12000;2;24000;12;2022-04-09
TR45940;160;3;7500;1;7500;13;2022-04-09
TR50070;163;3;7500;6;45000;7;2022-04-09
TR51571;219;5;4200;5;21000;12;2022-04-09
TR5344;303;3;7500;6;45000;9;2022-04-09
TR62493;427;10;15000;4;60000;6;2022-04-09
TR65515;404;2;3200;4;12800;2;2022-04-09
TR68700;13;5;4200;3;12600;14;2022-04-09
TR71562;413;8;16000;3;48000;4;2022-04-09
TR72258;193;9;10000;7;70000;9;2022-04-09
TR14512;322;2;3200;3;9600;7;2022-04-10
TR2849;12;7;9400;3;28200;10;2022-04-10
TR39239;429;10;15000;4;60000;7;2022-04-10
TR48169;84;7;9400;4;37600;3;2022-04-10
TR52762;31;7;9400;2;18800;4;2022-04-10
TR55266;120;1;8800;4;35200;1;2022-04-10
TR55501;64;10;15000;2;30000;1;2022-04-10
TR60092;411;8;16000;3;48000;3;2022-04-10
TR60922;297;2;3200;6;19200;12;2022-04-10
TR71773;363;10;15000;2;30000;2;2022-04-10
TR78733;186;4;12000;2;24000;7;2022-04-10
TR16168;125;6;18000;3;54000;5;2022-04-11
TR223;193;10;15000;5;75000;6;2022-04-11
TR27000;326;9;10000;3;30000;14;2022-04-11
TR3913;7;4;12000;3;36000;13;2022-04-11
TR45043;254;1;8800;2;17600;2;2022-04-11
TR53993;374;3;7500;2;15000;11;2022-04-11
TR68958;352;10;15000;1;15000;5;2022-04-11
TR74606;102;5;4200;4;16800;3;2022-04-11
TR74847;286;8;16000;1;16000;3;2022-04-11
TR74947;423;4;12000;2;24000;11;2022-04-11
TR85314;211;5;4200;4;16800;14;2022-04-11
TR95763;427;5;4200;5;21000;7;2022-04-11
TR96762;110;2;3200;4;12800;4;2022-04-11
TR11320;12;9;10000;3;30000;5;2022-04-12
TR13493;332;2;3200;7;22400;5;2022-04-12
TR15284;431;8;16000;1;16000;12;2022-04-12
TR15847;253;1;8800;6;52800;4;2022-04-12
TR26926;428;5;4200;5;21000;12;2022-04-12
TR30524;87;2;3200;7;22400;5;2022-04-12
TR30710;271;7;9400;6;56400;13;2022-04-12
TR35443;312;4;12000;3;36000;3;2022-04-12
TR39557;131;6;18000;4;72000;1;2022-04-12
TR43497;140;7;9400;3;28200;1;2022-04-12
TR45641;359;7;9400;6;56400;13;2022-04-12
TR45683;74;4;12000;4;48000;11;2022-04-12
TR55183;296;2;3200;6;19200;8;2022-04-12
TR64203;326;4;12000;2;24000;6;2022-04-12
TR66037;401;5;4200;3;12600;10;2022-04-12
TR69704;322;4;12000;4;48000;9;2022-04-12
TR75017;322;5;4200;3;12600;7;2022-04-12
TR9732;306;9;10000;3;30000;4;2022-04-12
TR13714;125;6;18000;1;18000;10;2022-04-13
TR20041;169;8;16000;2;32000;1;2022-04-13
TR22982;145;1;8800;6;52800;6;2022-04-13
TR24426;26;5;4200;5;21000;9;2022-04-13
TR32403;307;7;9400;4;37600;9;2022-04-13
TR32902;165;2;3200;7;22400;1;2022-04-13
TR41120;381;3;7500;4;30000;11;2022-04-13
TR52428;146;5;4200;4;16800;1;2022-04-13
TR7796;357;7;9400;4;37600;14;2022-04-13
TR84302;37;8;16000;3;48000;11;2022-04-13
TR89650;86;8;16000;3;48000;1;2022-04-13
TR91337;48;9;10000;6;60000;9;2022-04-13
TR97804;142;10;15000;2;30000;1;2022-04-13
TR1376;331;9;10000;6;60000;13;2022-04-14
TR37937;45;3;7500;1;7500;4;2022-04-14
TR40284;127;3;7500;4;30000;13;2022-04-14
TR42263;89;3;7500;2;15000;3;2022-04-14
TR48311;315;4;12000;4;48000;6;2022-04-14
TR70238;23;4;12000;2;24000;13;2022-04-14
TR77885;82;10;15000;5;75000;12;2022-04-14
TR78994;303;5;4200;2;8400;10;2022-04-14
TR83724;88;5;4200;4;16800;2;2022-04-14
TR86827;327;7;9400;5;47000;10;2022-04-14
TR92760;295;5;4200;5;21000;5;2022-04-14
TR24634;124;3;7500;2;15000;6;2022-04-15
TR30813;228;3;7500;5;37500;10;2022-04-15
TR34217;73;6;18000;4;72000;10;2022-04-15
TR38830;74;10;15000;3;45000;4;2022-04-15
TR48476;105;10;15000;2;30000;3;2022-04-15
TR59273;399;9;10000;3;30000;13;2022-04-15
TR89142;267;1;8800;5;44000;11;2022-04-15
TR93002;324;5;4200;4;16800;1;2022-04-15
TR17958;384;10;15000;5;75000;6;2022-04-16
TR223;154;9;10000;3;30000;6;2022-04-16
TR27254;353;9;10000;7;70000;3;2022-04-16
TR35193;249;9;10000;5;50000;9;2022-04-16
TR4070;423;1;8800;8;70400;9;2022-04-16
TR60400;46;5;4200;4;16800;13;2022-04-16
TR62440;430;3;7500;6;45000;12;2022-04-16
TR7883;43;3;7500;6;45000;1;2022-04-16
TR84845;167;9;10000;4;40000;10;2022-04-16
TR85806;76;8;16000;3;48000;12;2022-04-16
TR95986;425;10;15000;3;45000;12;2022-04-16
TR96924;34;7;9400;5;47000;12;2022-04-16
TR97114;119;10;15000;1;15000;9;2022-04-16
TR11510;233;10;15000;2;30000;13;2022-04-17
TR25259;280;4;12000;1;12000;10;2022-04-17
TR32800;354;6;18000;1;18000;13;2022-04-17
TR34544;389;5;4200;5;21000;7;2022-04-17
TR36123;296;5;4200;3;12600;9;2022-04-17
TR5075;28;2;3200;6;19200;10;2022-04-17
TR65917;120;7;9400;6;56400;8;2022-04-17
TR78331;408;1;8800;8;70400;6;2022-04-17
TR83136;268;8;16000;1;16000;7;2022-04-17
TR83303;101;2;3200;3;9600;2;2022-04-17
TR89342;436;9;10000;7;70000;13;2022-04-17
TR94512;404;2;3200;3;9600;12;2022-04-17
TR21074;132;1;8800;5;44000;13;2022-04-18
TR26247;248;4;12000;3;36000;6;2022-04-18
TR4050;225;6;18000;1;18000;7;2022-04-18
TR64090;352;3;7500;2;15000;11;2022-04-18
TR91977;439;5;4200;5;21000;11;2022-04-18
TR94076;433;10;15000;4;60000;5;2022-04-18
TR94382;13;5;4200;3;12600;3;2022-04-18
TR96225;419;3;7500;3;22500;7;2022-04-18
TR10854;49;8;16000;1;16000;2;2022-04-19
TR24761;269;3;7500;6;45000;7;2022-04-19
TR27960;200;5;4200;2;8400;2;2022-04-19
TR29707;201;1;8800;4;35200;2;2022-04-19
TR30162;284;6;18000;3;54000;6;2022-04-19
TR30585;300;5;4200;3;12600;8;2022-04-19
TR30706;204;1;8800;4;35200;2;2022-04-19
TR3948;62;3;7500;1;7500;2;2022-04-19
TR5623;48;5;4200;4;16800;11;2022-04-19
TR56450;194;9;10000;3;30000;7;2022-04-19
TR81438;224;8;16000;3;48000;9;2022-04-19
TR92519;405;5;4200;4;16800;4;2022-04-19
TR95780;7;2;3200;7;22400;13;2022-04-19
TR98303;443;3;7500;1;7500;5;2022-04-19
TR9944;249;1;8800;9;79200;3;2022-04-19
TR22734;228;6;18000;4;72000;11;2022-04-20
TR39369;437;2;3200;4;12800;7;2022-04-20
TR51352;440;8;16000;2;32000;12;2022-04-20
TR56306;237;3;7500;4;30000;13;2022-04-20
TR56568;136;4;12000;2;24000;12;2022-04-20
TR63844;301;1;8800;2;17600;7;2022-04-20
TR68783;321;2;3200;7;22400;10;2022-04-20
TR69041;82;9;10000;2;20000;11;2022-04-20
TR77308;347;5;4200;4;16800;11;2022-04-20
TR77884;334;2;3200;7;22400;13;2022-04-20
TR7993;347;8;16000;1;16000;1;2022-04-20
TR8256;29;10;15000;4;60000;4;2022-04-20
TR90873;412;2;3200;6;19200;12;2022-04-20
TR14608;426;6;18000;1;18000;2;2022-04-21
TR36274;260;10;15000;4;60000;2;2022-04-21
TR38554;6;1;8800;5;44000;7;2022-04-21
TR42571;225;8;16000;1;16000;13;2022-04-21
TR49669;87;5;4200;3;12600;6;2022-04-21
TR52968;446;7;9400;6;56400;1;2022-04-21
TR53529;363;5;4200;3;12600;3;2022-04-21
TR6401;297;9;10000;1;10000;7;2022-04-21
TR78083;98;10;15000;5;75000;1;2022-04-21
TR78949;248;9;10000;1;10000;7;2022-04-21
TR79594;43;7;9400;6;56400;2;2022-04-21
TR80303;229;5;4200;3;12600;11;2022-04-21
TR81147;287;8;16000;3;48000;8;2022-04-21
TR83776;374;5;4200;4;16800;6;2022-04-21
TR9458;331;7;9400;2;18800;12;2022-04-21
TR16546;127;4;12000;2;24000;2;2022-04-22
TR16758;166;9;10000;7;70000;13;2022-04-22
TR2727;206;8;16000;3;48000;10;2022-04-22
TR28093;391;1;8800;10;88000;9;2022-04-22
TR31909;365;4;12000;1;12000;1;2022-04-22
TR4358;266;3;7500;2;15000;8;2022-04-22
TR48614;399;9;10000;4;40000;13;2022-04-22
TR523;18;8;16000;2;32000;2;2022-04-22
TR54161;11;10;15000;4;60000;6;2022-04-22
TR80135;97;7;9400;4;37600;8;2022-04-22
TR84914;386;1;8800;7;61600;4;2022-04-22
TR86142;417;5;4200;3;12600;5;2022-04-22
TR88227;215;5;4200;3;12600;12;2022-04-22
TR11002;147;9;10000;6;60000;11;2022-04-23
TR3136;395;3;7500;1;7500;3;2022-04-23
TR34179;49;1;8800;2;17600;2;2022-04-23
TR41623;19;8;16000;1;16000;5;2022-04-23
TR42197;181;5;4200;4;16800;12;2022-04-23
TR43306;7;10;15000;5;75000;9;2022-04-23
TR80629;44;2;3200;6;19200;1;2022-04-23
TR92184;149;6;18000;4;72000;1;2022-04-23
TR93271;47;3;7500;1;7500;13;2022-04-23
TR94169;310;10;15000;2;30000;8;2022-04-23
TR99335;247;2;3200;5;16000;12;2022-04-23
TR1044;123;7;9400;5;47000;2;2022-04-24
TR13230;32;7;9400;4;37600;7;2022-04-24
TR33278;151;1;8800;9;79200;12;2022-04-24
TR6066;165;9;10000;1;10000;6;2022-04-24
TR62205;80;9;10000;1;10000;6;2022-04-24
TR67442;228;8;16000;3;48000;11;2022-04-24
TR74211;298;2;3200;6;19200;10;2022-04-24
TR83259;306;7;9400;5;47000;11;2022-04-24
TR84383;64;5;4200;3;12600;8;2022-04-24
TR84714;231;3;7500;1;7500;9;2022-04-24
TR87375;133;9;10000;4;40000;5;2022-04-24
TR9020;285;10;15000;1;15000;13;2022-04-24
TR96262;62;3;7500;2;15000;13;2022-04-24
TR9659;72;7;9400;6;56400;12;2022-04-24
TR16828;279;9;10000;4;40000;8;2022-04-25
TR2135;7;7;9400;2;18800;8;2022-04-25
TR23007;165;2;3200;4;12800;9;2022-04-25
TR28064;187;5;4200;4;16800;8;2022-04-25
TR33855;261;6;18000;2;36000;8;2022-04-25
TR34173;363;2;3200;6;19200;11;2022-04-25
TR62908;204;10;15000;5;75000;8;2022-04-25
TR69381;231;2;3200;3;9600;13;2022-04-25
TR7494;164;5;4200;3;12600;8;2022-04-25
TR75229;116;1;8800;8;70400;5;2022-04-25
TR75777;109;5;4200;4;16800;10;2022-04-25
TR83630;424;9;10000;7;70000;6;2022-04-25
TR84152;150;10;15000;5;75000;6;2022-04-25
TR84178;10;3;7500;1;7500;13;2022-04-25
TR28966;157;4;12000;1;12000;6;2022-04-26
TR40363;96;7;9400;2;18800;7;2022-04-26
TR42208;301;10;15000;2;30000;14;2022-04-26
TR50042;365;1;8800;2;17600;13;2022-04-26
TR52429;429;3;7500;4;30000;2;2022-04-26
TR57541;62;9;10000;6;60000;8;2022-04-26
TR58087;76;9;10000;4;40000;7;2022-04-26
TR58498;162;5;4200;5;21000;6;2022-04-26
TR5946;247;9;10000;3;30000;10;2022-04-26
TR73275;111;2;3200;4;12800;6;2022-04-26
TR78998;392;7;9400;6;56400;5;2022-04-26
TR85313;224;1;8800;8;70400;8;2022-04-26
TR9310;219;6;18000;1;18000;5;2022-04-26
TR1685;345;10;15000;4;60000;7;2022-04-27
TR2304;121;5;4200;5;21000;3;2022-04-27
TR31257;156;8;16000;3;48000;4;2022-04-27
TR32564;319;7;9400;3;28200;6;2022-04-27
TR3773;38;6;18000;4;72000;6;2022-04-27
TR38392;147;8;16000;2;32000;6;2022-04-27
TR42562;117;5;4200;3;12600;7;2022-04-27
TR5271;144;10;15000;2;30000;12;2022-04-27
TR64799;280;3;7500;6;45000;6;2022-04-27
TR74513;137;5;4200;5;21000;11;2022-04-27
TR91525;203;5;4200;2;8400;6;2022-04-27
TR91926;253;5;4200;2;8400;12;2022-04-27
TR1338;106;3;7500;5;37500;1;2022-04-28
TR14816;425;5;4200;4;16800;4;2022-04-28
TR29518;45;3;7500;1;7500;6;2022-04-28
TR30611;130;5;4200;3;12600;13;2022-04-28
TR49638;5;4;12000;1;12000;9;2022-04-28
TR49722;50;7;9400;4;37600;2;2022-04-28
TR52555;411;10;15000;2;30000;6;2022-04-28
TR54351;197;7;9400;2;18800;5;2022-04-28
TR59105;247;9;10000;6;60000;4;2022-04-28
TR6576;122;7;9400;2;18800;4;2022-04-28
TR71804;218;1;8800;8;70400;3;2022-04-28
TR72678;219;1;8800;8;70400;11;2022-04-28
TR73576;95;10;15000;4;60000;3;2022-04-28
TR75353;431;5;4200;5;21000;7;2022-04-28
TR75672;325;2;3200;4;12800;6;2022-04-28
TR80506;311;5;4200;3;12600;5;2022-04-28
TR90869;157;5;4200;5;21000;9;2022-04-28
TR9366;250;5;4200;4;16800;2;2022-04-28
TR94090;427;10;15000;5;75000;13;2022-04-28
TR95623;364;9;10000;6;60000;4;2022-04-28
TR10972;400;2;3200;6;19200;6;2022-04-29
TR11542;374;10;15000;4;60000;4;2022-04-29
TR12976;240;3;7500;4;30000;8;2022-04-29
TR20106;299;10;15000;5;75000;2;2022-04-29
TR36366;331;6;18000;2;36000;8;2022-04-29
TR48950;91;7;9400;4;37600;13;2022-04-29
TR51740;261;2;3200;7;22400;3;2022-04-29
TR54623;131;4;12000;3;36000;13;2022-04-29
TR56847;303;10;15000;3;45000;5;2022-04-29
TR61579;246;5;4200;2;8400;2;2022-04-29
TR61819;21;2;3200;7;22400;12;2022-04-29
TR65912;426;1;8800;3;26400;8;2022-04-29
TR69581;148;5;4200;2;8400;9;2022-04-29
TR78116;123;3;7500;3;22500;3;2022-04-29
TR36850;196;3;7500;2;15000;1;2022-04-30
TR37212;73;5;4200;4;16800;13;2022-04-30
TR45231;234;7;9400;2;18800;8;2022-04-30
TR668;299;4;12000;2;24000;6;2022-04-30
TR83420;394;8;16000;1;16000;9;2022-04-30
TR88321;210;9;10000;7;70000;13;2022-04-30
TR98388;276;8;16000;3;48000;10;2022-04-30
TR13665;401;2;3200;7;22400;11;2022-05-01
TR1691;209;9;10000;7;70000;3;2022-05-01
TR23081;199;7;9400;3;28200;6;2022-05-01
